,username,to,text,retweets,favorites,replies,id,permalink,author_id,date,formatted_date,hashtags,mentions,geo,urls
658,Sikisantis,StephiBou,"Except she wouldn't have been able to perform for ANY client anyway. They hadn't even had their first meeting yet because of lockdown. In normal day to day, fair enough. In this instance this was just a shameless money grab, and morally reprehensible. Not to mention shortsighted",0,0,1,1277677557387837441,https://twitter.com/Sikisantis/status/1277677557387837441,23420430,2020-06-29 18:57:22+00:00,Mon Jun 29 18:57:22 +0000 2020,,,,
659,SemwalChander,AFP,There must be a complete lockdown on north Arctic and south pole regions of our earth for next 5 years. International and domestic flights to half and complete odd- even vehicular traffic rules in whole of the world. And I bet you will not complain. Convictions must win !!,0,0,0,1277677539809320961,https://twitter.com/SemwalChander/status/1277677539809320961,1034131638559498241,2020-06-29 18:57:18+00:00,Mon Jun 29 18:57:18 +0000 2020,,,,
660,BLOnCampus,,"With the lockdown forcing them to get creative, ad film-makers are taking studios to homes, shooting commercials that bring a fresh, new angle to the advertisements, says @khyatijagani of @FLAMEUniversity https://bit.ly/31F2RGj #advertising #lockdown ",2,2,0,1277677511141232641,https://twitter.com/BLOnCampus/status/1277677511141232641,916541521,2020-06-29 18:57:11+00:00,Mon Jun 29 18:57:11 +0000 2020,#advertising #lockdown,@khyatijagani @FLAMEUniversity,,https://bit.ly/31F2RGj
661,izeeshan_nawaz,zarmeenaaay,Lockdown to khtm ho ,0,0,1,1277677493483339777,https://twitter.com/izeeshan_nawaz/status/1277677493483339777,767017547153616896,2020-06-29 18:57:07+00:00,Mon Jun 29 18:57:07 +0000 2020,,,,
662,maitrayeethakur,,the only reason I don't want this lockdown to end any sooner is that I don't wanna go back to seeing some people everyday.,0,3,1,1277677390521462785,https://twitter.com/maitrayeethakur/status/1277677390521462785,1031263933502562307,2020-06-29 18:56:42+00:00,Mon Jun 29 18:56:42 +0000 2020,,,,
663,myhotnewspk,,TSB has seen average signups for its mobile app triple since lockdown began ,0,0,0,1277677305100414976,https://twitter.com/myhotnewspk/status/1277677305100414976,3912917594,2020-06-29 18:56:22+00:00,Mon Jun 29 18:56:22 +0000 2020,,,,https://myhotnewspk.com/81620/tsb-has-seen-common-signups-for-its-cellular-app-triple-since-lockdown-started/
664,ZoobiDoobie,notabida,Lockdown hay yar ,0,1,1,1277677269671202820,https://twitter.com/ZoobiDoobie/status/1277677269671202820,1002176978,2020-06-29 18:56:13+00:00,Mon Jun 29 18:56:13 +0000 2020,,,,
665,herbstdw,,Lines at Food Banks Reemerge As Lockdown Paralyzes Households ,0,0,0,1277677259340632065,https://twitter.com/herbstdw/status/1277677259340632065,104990272,2020-06-29 18:56:11+00:00,Mon Jun 29 18:56:11 +0000 2020,,,,https://www.infowars.com/lines-at-food-banks-reemerge-as-lockdown-paralyzes-households/
666,ParveenAnsari20,,Dear CM Waive Electricity Bills in Lockdown period. - Sign the Petition! http://chng.it/MRdvRscb via @ChangeOrg_India,0,0,0,1277677229074288640,https://twitter.com/ParveenAnsari20/status/1277677229074288640,1025271251999158272,2020-06-29 18:56:04+00:00,Mon Jun 29 18:56:04 +0000 2020,,@ChangeOrg_India,,http://chng.it/MRdvRscb
667,Scuttlebutt24,,"TV Actor Parth Samthaan Misbehaves With Media.. What's With His Language ""Main Teri Lagaunga?"" Seems @LaghateParth Experiencing Mood Swings During Lockdown . . . . . #parthsamthaan #ericafernandes… https://www.instagram.com/p/CCB6HNagiKc/?igshid=1l5zmgb6q2c6f",1,3,0,1277677071435776000,https://twitter.com/Scuttlebutt24/status/1277677071435776000,1266754096020639744,2020-06-29 18:55:26+00:00,Mon Jun 29 18:55:26 +0000 2020,#parthsamthaan #ericafernandes,@LaghateParth,,https://www.instagram.com/p/CCB6HNagiKc/?igshid=1l5zmgb6q2c6f
